"VisR","Reference Term Curie","skos:narrower","skos:narrowMatch","skos:related","skos:relatedMatch","skos:closeMatch","skos:exactMatch","equivalent","skos:broadMatch","skos:broader","Mapped Term Curie","VisM","Mapped Vocabulary","Mapped Term","Mapped Term Depiction","Mapped Vocabulary Ordinal","rdfs:seeAlso","Reference Term"
"opm:","opm:wasDerivedFrom","skos:narrower","-","-","-","-","-","-","-","-","pmlp:hasSourceUsage","pmlp:hasSourceUsage","Proof Markup Language","http://inference-web.org/2.0/pml-provenance.owl#hasSourceUsage","http://inference-web.org/w/images/b/b6/Pml-provenance.owl.owl.manual.graffle.pdf",3,"","http://openprovenance.org/ontology#wasDerivedFrom"
"opm:","opm:wasDerivedFrom","-","skos:narrowMatch","-","-","-","-","-","-","-","dcterms:replaces","dcterms:replaces","Dublin Core Terms","http://purl.org/dc/terms/replaces","",4,"","http://openprovenance.org/ontology#wasDerivedFrom"
"opm:","opm:wasDerivedFrom","-","skos:narrowMatch","-","-","-","-","-","-","-","dcterms:source","dcterms:source","Dublin Core Terms","http://purl.org/dc/terms/source","",4,"","http://openprovenance.org/ontology#wasDerivedFrom"
"opm:","opm:wasDerivedFrom","-","skos:narrowMatch","-","-","-","-","-","-","-","dcterms:hasPart","dcterms:hasPart","Dublin Core Terms","http://purl.org/dc/terms/hasPart","",4,"","http://openprovenance.org/ontology#wasDerivedFrom"
"opm:","opm:wasDerivedFrom","-","skos:narrowMatch","-","-","-","-","-","-","-","dcterms:references","dcterms:references","Dublin Core Terms","http://purl.org/dc/terms/references","",4,"","http://openprovenance.org/ontology#wasDerivedFrom"
"opm:","opm:wasDerivedFrom","-","-","-","-","-","-","-","skos:broadMatch","-","premis:relatedObjectIdentification","premis:relatedObjectIdentification","PREMIS","http://multimedialab.elis.ugent.be/ontologies/PREMIS2.0/v1.0/premis.owl#relatedObjectIdentification","",5,"","http://openprovenance.org/ontology#wasDerivedFrom"
"opm:","opm:wasDerivedFrom","skos:narrower","-","-","-","-","-","-","-","-","pav:importedFromSource","pav:importedFromSource","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/importedFromSource","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#wasDerivedFrom"
"opm:","opm:wasDerivedFrom","skos:narrower","-","-","-","-","-","-","-","-","pav:previousVersion","pav:previousVersion","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/previousVersion","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#wasDerivedFrom"
"opm:","opm:used","-","-","-","-","-","-","-","skos:broadMatch","-","provenir:has_participant","provenir:has_participant","Provenir ontology","http://knoesis.wright.edu/provenir/provenir.owl#has_participant","http://inference-web.org/w/images/f/f1/Provenir.owl.rdf.manual.graffle.pdf",1,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","-","-","skos:related","-","-","-","-","-","-","hprv:employedArtifact","hprv:employedArtifact","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#employedArtifact","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","skos:narrower","-","-","-","-","-","-","-","-","hprv:usedData","hprv:usedData","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#usedData","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","skos:narrower","-","-","-","-","-","-","-","-","hprv:usedGuideline","hprv:usedGuideline","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#usedGuideline","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","-","-","-","skos:relatedMatch","-","-","-","-","-","pmlj:hasAntecedentList","pmlj:hasAntecedentList","Proof Markup Language","http://inference-web.org/2.0/pml-justification.owl#hasAntecedentList","http://inference-web.org/w/images/8/82/Pml-justification.owl.owl.manual.graffle.pdf",3,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","-","-","-","skos:relatedMatch","-","-","-","-","-","dcterms:requires","dcterms:requires","Dublin Core Terms","http://purl.org/dc/terms/requires","",4,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","-","-","-","skos:relatedMatch","-","-","-","-","-","dcterms:isRequiredBy","dcterms:isRequiredBy","Dublin Core Terms","http://purl.org/dc/terms/isRequiredBy","",4,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","-","-","-","skos:relatedMatch","-","-","-","-","-","premis:linkingObjectIdentifier","premis:linkingObjectIdentifier","PREMIS","http://multimedialab.elis.ugent.be/ontologies/PREMIS2.0/v1.0/premis.owl#linkingObjectIdentifier","",5,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","-","skos:narrowMatch","-","-","-","-","-","-","-","wot:signer","wot:signer","Web Of Trust Schema","http://xmlns.com/wot/0.1/signer","http://inference-web.org/w/images/7/7b/Wot.rdf.manual.pdf",6,"","http://openprovenance.org/ontology#used"
